Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
101,Bradley,MVC,,,17,14,70.5,65.2,5.29,,1.81,,0.72,5.69,6.41,104.20,93.93,10.27
102,Furman,Southern,,,22,12,77.6,68.7,8.94,,-1.24,,5.25,1.15,6.40,112.77,102.71,10.06
103,Northern Iowa,MVC,,,19,11,74.4,70.5,3.90,,3.51,,5.84,0.43,6.27,109.90,100.32,9.58
104,Chattanooga,Southern,,,27,7,74.8,64.7,10.12,,-1.19,,1.00,5.12,6.12,108.32,98.09,10.23
105,Utah,Pac-12,,,11,20,69.7,70.9,-1.16,,7.17,,3.79,2.22,6.01,107.98,99.10,8.88
106,Washington,Pac-12,,,17,14,70.9,72.5,-1.61,,7.15,,4.38,1.17,5.54,104.59,96.49,8.10
107,Louisiana Tech,CUSA,,,22,9,76.9,68.9,7.97,,-0.30,,4.69,0.72,5.41,107.69,99.67,8.02
108,Iona,MAAC,,,25,7,75.3,68.3,6.97,,-1.64,,4.78,0.56,5.33,106.00,98.28,7.72
109,Temple,AAC,,,17,11,67.0,66.4,0.64,,4.55,,0.02,5.18,5.19,102.77,95.29,7.48
110,George Mason,A-10,,,14,15,71.5,69.0,2.45,,2.32,,1.85,2.93,4.77,106.83,99.38,7.45
111,Butler,Big East,,,14,18,63.9,67.0,-3.06,,9.49,,-2.63,7.39,4.76,103.12,96.82,6.30
112,California,Pac-12,,,12,20,63.1,66.1,-3.00,,7.66,,-2.97,7.64,4.66,102.11,95.55,6.56
113,Nevada,MWC,,,13,17,72.7,73.8,-1.10,,6.52,,5.14,-1.00,4.14,106.06,99.54,6.52
114,Louisville,ACC,,,13,19,67.3,70.1,-2.78,,6.91,,0.73,3.40,4.13,103.40,97.57,5.82
115,Stephen F. Austin,WAC,,,22,8,75.2,67.8,7.37,,-1.30,,2.00,2.05,4.05,102.31,96.64,5.67
116,Middle Tennessee,CUSA,,,22,9,73.9,66.3,7.61,,-1.16,,1.83,2.14,3.98,104.72,98.06,6.66
117,Boston College,ACC,,,13,19,66.9,68.0,-1.16,,4.90,,-0.22,3.96,3.74,104.79,98.73,6.06
118,Nebraska,Big Ten,,,10,22,73.3,78.5,-5.25,,8.92,,7.58,-3.91,3.67,106.55,100.37,6.18
119,Western Kentucky,CUSA,,,19,12,76.0,69.5,6.52,,0.43,,4.31,-0.64,3.67,106.60,100.59,6.01
120,NC State,ACC,,,11,21,73.0,75.6,-2.59,,6.17,,5.55,-1.97,3.58,109.18,103.33,5.85
121,Florida Atlantic,CUSA,,,19,13,74.4,67.5,6.91,,-1.91,,2.67,0.76,3.43,106.84,101.18,5.66
122,Princeton,Ivy,,,22,5,80.6,69.4,11.15,,-4.39,,5.86,-2.49,3.37,110.51,104.93,5.59
123,Southern Illinois,MVC,,,16,15,64.0,61.4,2.68,,1.25,,-5.78,9.13,3.35,102.60,97.18,5.42
124,Missouri,SEC,,,12,20,65.4,70.3,-4.91,,9.34,,-0.89,4.14,3.25,103.71,98.71,5.00
125,Rhode Island,A-10,,,15,15,67.4,65.0,2.37,,1.26,,-2.35,5.54,3.19,100.16,95.14,5.02
126,Utah Valley,WAC,,,20,12,71.2,65.1,6.09,,-1.11,,-1.09,3.94,2.85,101.99,97.78,4.21
127,Abilene Christian,WAC,,,21,9,77.1,66.2,10.87,,-2.65,,3.32,-0.74,2.58,102.14,98.78,3.36
128,Buffalo,MAC (East),,,19,10,80.3,72.3,8.00,,-2.80,,6.92,-4.35,2.57,106.45,102.94,3.50
129,UC Irvine,Big West,,,15,9,66.1,59.5,6.58,,-0.48,,-5.47,8.03,2.56,98.51,94.57,3.94
130,Ohio,MAC (East),,,23,8,74.3,67.4,6.87,,-3.92,,0.66,1.85,2.51,103.83,99.83,4.00
131,Seattle,WAC,,,23,8,74.8,66.3,8.55,,-3.87,,1.12,1.35,2.48,99.59,96.05,3.54
132,Liberty,A-Sun,,,22,11,73.4,63.5,9.91,,-3.55,,-0.28,2.59,2.32,105.56,101.00,4.56
133,Wofford,Southern,,,19,13,72.6,66.3,6.31,,-1.25,,-1.27,3.58,2.31,106.72,102.44,4.27
134,Georgetown,Big East,,,6,25,70.7,77.0,-6.32,,8.56,,4.98,-2.74,2.24,106.20,102.74,3.46
135,Georgia Tech,ACC,,,12,20,68.6,70.8,-2.16,,5.95,,0.29,1.82,2.11,100.78,97.59,3.20
136,Tulsa,AAC,,,10,19,67.5,69.6,-2.03,,4.14,,0.28,1.82,2.10,104.01,100.82,3.19
137,Hofstra,CAA,,,21,11,77.9,72.9,5.03,,-0.61,,5.52,-3.73,1.79,107.92,104.94,2.98
138,New Mexico,MWC,,,13,19,74.3,75.3,-1.09,,4.84,,7.21,-5.43,1.78,106.08,103.24,2.83
139,UC Santa Barbara,Big West,,,16,10,74.0,65.6,8.42,,-4.25,,0.79,0.97,1.75,104.49,101.29,3.20
140,Saint Joseph's,A-10,,,11,19,67.6,69.1,-1.47,,2.81,,-0.20,1.54,1.34,100.36,98.02,2.33
141,Morehead State,OVC,,,23,11,70.0,63.5,6.50,,-2.90,,-2.84,4.16,1.33,102.13,99.28,2.84
142,South Alabama,Sun Belt,,,19,11,71.4,63.2,8.20,,-2.85,,-0.94,2.16,1.23,102.63,100.36,2.27
143,Colgate,Patriot,,,23,11,76.1,67.1,8.94,,-6.77,,2.24,-1.22,1.02,106.34,104.16,2.17
144,East Carolina,AAC,,,15,14,69.0,70.8,-1.86,,2.77,,1.32,-0.41,0.91,102.26,100.69,1.57
145,Kent State,MAC (East),,,21,9,71.2,64.1,7.13,,-2.80,,-3.54,4.38,0.84,99.83,98.26,1.57
146,Saint Peter's,MAAC,,,17,11,67.2,62.4,4.82,,-2.81,,-4.80,5.55,0.74,97.58,95.52,2.06
147,Sam Houston State,WAC,,,19,13,68.9,62.8,6.09,,-0.85,,-4.36,4.96,0.60,99.95,98.08,1.88
148,Hawaii,Big West,,,16,10,69.8,64.3,5.50,,-2.66,,-2.51,3.06,0.55,102.74,101.56,1.17
149,UTEP,CUSA,,,19,12,69.2,66.5,2.61,,-0.17,,-2.14,2.59,0.45,100.74,99.50,1.24
150,College of Charleston,CAA,,,17,15,78.2,76.4,1.75,,-1.34,,7.29,-6.88,0.41,102.56,101.57,0.99
151,Texas State,Sun Belt,,,21,7,70.7,63.1,7.61,,-2.88,,-2.83,3.23,0.40,105.47,104.29,1.17
152,Delaware,CAA,,,22,12,73.8,69.9,3.88,,-2.47,,1.71,-1.36,0.35,105.92,104.69,1.23
153,Pittsburgh,ACC,,,11,21,61.5,68.1,-6.53,,6.82,,-5.08,5.37,0.28,100.33,100.45,-0.12
154,Coastal Carolina,Sun Belt,,,16,13,72.8,65.3,7.52,,-2.09,,-1.36,1.62,0.27,101.09,100.56,0.53
155,Jacksonville State,A-Sun,,,21,10,73.9,66.8,7.13,,-4.12,,-1.21,1.47,0.26,104.55,103.00,1.55
156,Longwood,Big South,,,26,6,76.3,65.1,11.28,,-6.88,,0.31,-0.09,0.23,105.26,103.78,1.48
157,Cal State Long Beach,Big West,,,18,11,74.3,73.1,1.24,,0.96,,4.56,-4.45,0.11,102.68,102.29,0.39
158,Yale,Ivy,,,17,11,72.8,69.3,3.46,,-1.83,,0.37,-0.32,0.06,99.89,99.26,0.64
159,Georgia,SEC,,,6,26,69.8,78.5,-8.69,,8.53,,4.72,-4.88,-0.16,107.67,107.45,0.22
160,Oral Roberts,Summit,,,19,12,83.3,74.4,8.90,,-3.84,,7.49,-7.68,-0.20,107.40,107.79,-0.39
161,Illinois State,MVC,,,13,20,74.2,74.7,-0.58,,1.29,,4.59,-4.81,-0.22,105.16,104.93,0.23
162,Montana State,Big Sky,,,24,7,76.7,68.9,7.84,,-5.86,,0.03,-0.26,-0.24,100.99,100.91,0.08
163,Akron,MAC (East),,,21,9,71.1,62.9,8.20,,-4.88,,-4.36,4.09,-0.27,103.84,103.57,0.27
164,Drexel,CAA,,,15,14,72.8,70.3,2.55,,-1.88,,-0.48,0.21,-0.27,103.40,103.09,0.31
165,UC Riverside,Big West,,,16,11,66.6,63.6,3.04,,-1.35,,-3.35,3.04,-0.31,99.01,99.11,-0.10
166,Cal State Fullerton,Big West,,,18,10,70.5,67.1,3.43,,-2.47,,-0.77,0.34,-0.43,103.30,103.51,-0.21
167,Monmouth,MAAC,,,19,12,69.2,67.8,1.39,,-1.81,,-1.51,1.08,-0.43,100.53,101.00,-0.47
168,Wagner,NEC,,,21,6,74.4,64.7,9.74,,-8.60,,-1.16,0.44,-0.72,100.68,101.37,-0.69
169,Fordham,A-10,,,15,15,66.8,67.1,-0.30,,-0.50,,-4.23,3.43,-0.80,94.43,94.76,-0.33
170,Oregon State,Pac-12,,,3,28,68.3,78.1,-9.84,,9.03,,2.78,-3.59,-0.81,105.90,107.73,-1.84
171,Appalachian State,Sun Belt,,,19,14,66.9,62.6,4.27,,-1.03,,-5.24,4.42,-0.83,99.50,100.20,-0.70
172,Massachusetts,A-10,,,14,16,75.0,77.8,-2.80,,1.96,,7.60,-8.44,-0.84,109.71,110.63,-0.93
173,North Dakota State,Summit,,,23,10,74.8,68.7,6.12,,-4.03,,-1.40,0.43,-0.96,101.09,102.42,-1.33
174,Georgia State,Sun Belt,,,18,10,70.6,64.8,5.86,,-2.08,,-1.45,0.45,-1.00,99.92,100.53,-0.61
175,Valparaiso,MVC,,,14,18,70.8,70.5,0.22,,1.40,,-0.49,-0.55,-1.03,103.12,104.37,-1.25
176,Old Dominion,CUSA,,,13,19,66.5,67.0,-0.56,,0.18,,-4.75,3.71,-1.04,99.83,101.03,-1.19
177,Oakland,Horizon,,,20,12,74.4,68.6,5.81,,-3.67,,-0.27,-0.90,-1.17,101.74,103.51,-1.77
178,Southern Utah,Big Sky,,,20,10,78.8,72.7,6.17,,-4.91,,3.42,-4.62,-1.20,103.46,104.80,-1.33
179,Charlotte,CUSA,,,17,14,70.0,71.2,-1.19,,-0.06,,-0.52,-0.73,-1.25,105.16,107.07,-1.91
180,Portland,WCC,,,18,14,73.9,72.0,1.88,,-0.30,,1.05,-2.31,-1.26,101.70,102.91,-1.21
181,Loyola Marymount,WCC,,,11,18,69.3,74.1,-4.76,,3.71,,0.57,-2.04,-1.47,105.76,108.09,-2.34
182,Weber State,Big Sky,,,20,11,76.7,70.8,5.97,,-4.90,,2.33,-3.82,-1.49,102.68,104.69,-2.01
183,Winthrop,Big South,,,23,9,75.2,70.2,5.03,,-3.56,,2.66,-4.14,-1.49,104.85,106.40,-1.56
184,VMI,Southern,,,16,15,79.1,73.6,5.45,,-1.79,,5.68,-7.36,-1.68,108.23,109.97,-1.74
185,Jacksonville,A-Sun,,,21,10,67.1,59.3,7.81,,-4.87,,-9.11,7.39,-1.73,98.43,100.00,-1.57
186,Cleveland State,Horizon,,,20,10,75.6,69.9,5.73,,-5.95,,2.35,-4.15,-1.81,102.85,105.53,-2.69
187,UNC Greensboro,Southern,,,17,14,65.0,64.8,0.23,,-1.61,,-7.55,5.55,-2.01,97.99,100.48,-2.48
188,Wright State,Horizon,,,21,13,75.5,71.1,4.41,,-5.61,,2.14,-4.20,-2.07,103.79,106.52,-2.73
189,UNC Wilmington,CAA,,,23,9,70.3,68.0,2.34,,-3.31,,-2.27,0.17,-2.11,101.08,103.53,-2.45
190,Gardner-Webb,Big South,,,18,13,69.5,64.2,5.32,,-4.24,,-5.32,3.15,-2.17,96.14,98.20,-2.07
191,Rice,CUSA,,,16,15,75.2,73.8,1.42,,-1.30,,3.53,-5.83,-2.30,104.36,107.98,-3.62
192,Louisiana,Sun Belt,,,16,15,71.1,69.4,1.68,,-2.52,,-0.12,-2.19,-2.31,98.99,101.84,-2.85
193,East Tennessee State,Southern,,,15,17,72.1,73.0,-0.94,,-0.02,,0.01,-2.43,-2.42,105.66,108.56,-2.90
194,UC Davis,Big West,,,13,10,68.4,66.1,2.30,,-3.93,,-3.47,1.01,-2.46,97.28,100.35,-3.08
195,Samford,Southern,,,21,11,74.7,73.8,0.84,,-1.39,,1.79,-4.42,-2.63,102.86,105.80,-2.94
196,Florida Gulf Coast,A-Sun,,,21,11,77.4,73.2,4.25,,-4.63,,4.48,-7.15,-2.67,103.88,107.54,-3.65
197,Tarleton State,WAC,,,14,17,64.6,65.3,-0.74,,0.00,,-6.62,3.94,-2.68,99.15,102.57,-3.43
198,Navy,Patriot,,,21,11,65.0,60.1,4.84,,-6.14,,-8.19,5.47,-2.72,93.59,96.61,-3.02
199,San Diego,WCC,,,15,16,65.8,67.3,-1.45,,2.04,,-5.20,2.45,-2.75,96.64,100.74,-4.10
200,Northern Kentucky,Horizon,,,20,12,69.9,65.1,4.81,,-5.79,,-4.58,1.79,-2.79,100.22,103.83,-3.62
201,Arkansas State,Sun Belt,,,18,11,70.9,68.1,2.79,,-3.08,,-2.16,-0.69,-2.85,98.76,101.86,-3.10
202,South Florida,AAC,,,8,22,57.4,65.1,-7.63,,4.78,,-9.67,6.82,-2.85,91.78,96.25,-4.47
203,Troy,Sun Belt,,,20,11,69.2,65.1,4.06,,-3.31,,-3.91,0.99,-2.92,97.05,100.48,-3.44
204,Indiana State,MVC,,,11,20,70.5,71.9,-1.48,,2.47,,-0.08,-2.88,-2.96,98.43,101.96,-3.53
205,Nicholls State,Southland,,,21,10,79.6,71.4,8.23,,-6.04,,1.44,-4.41,-2.97,100.05,103.70,-3.66
206,La Salle,A-10,,,11,18,68.1,71.6,-3.48,,0.50,,-1.86,-1.13,-2.99,98.93,102.57,-3.64
207,California Baptist,WAC,,,18,15,71.0,67.3,3.76,,-3.03,,-2.10,-0.93,-3.03,98.93,102.99,-4.06
208,Mercer,Southern,,,16,17,70.5,70.5,-0.09,,-0.84,,-2.13,-0.97,-3.10,103.74,107.58,-3.84
209,Brown,Ivy,,,13,16,71.0,69.5,1.48,,-1.77,,-2.71,-0.46,-3.18,98.30,102.56,-4.26
210,Niagara,MAAC,,,14,15,67.7,65.7,2.07,,-3.22,,-5.28,2.06,-3.22,99.13,103.69,-4.55
211,Bellarmine,A-Sun,,,20,13,70.1,67.2,2.94,,-0.77,,-3.43,0.18,-3.25,106.84,110.83,-4.00
212,Cornell,Ivy,,,15,10,79.4,74.6,4.88,,-3.52,,4.35,-7.65,-3.30,102.12,106.39,-4.27
213,Norfolk State,MEAC,,,22,6,75.3,64.0,11.32,,-9.90,,-2.60,-0.78,-3.38,99.34,103.14,-3.80
214,George Washington,A-10,,,12,17,67.7,71.9,-4.24,,0.77,,-1.20,-2.28,-3.47,97.89,102.39,-4.50
215,Pennsylvania,Ivy,,,12,15,72.4,75.8,-3.33,,-0.19,,1.88,-5.41,-3.52,103.47,107.92,-4.45
216,Northern Colorado,Big Sky,,,18,14,78.7,76.8,1.91,,-3.38,,5.68,-9.30,-3.62,106.99,111.88,-4.88
217,South Dakota,Summit,,,19,12,75.1,70.9,4.23,,-4.93,,-1.20,-2.55,-3.75,102.99,108.16,-5.17
218,Dartmouth,Ivy,,,9,16,68.4,68.2,0.16,,-2.33,,-6.23,2.40,-3.83,96.76,102.15,-5.40
219,James Madison,CAA,,,15,14,75.1,73.2,1.90,,-1.06,,1.75,-5.84,-4.09,102.27,107.68,-5.41
220,Texas Southern,SWAC,,,16,12,68.5,66.0,2.43,,-6.52,,-4.66,0.57,-4.09,95.04,100.43,-5.39
